20220720	20:17:21	119c8ecc-9f85-468c-a817-1a97b2ae9b74	POST	undefined	/employees
20220720	20:21:28	6e7e5300-259a-4c19-9879-162f8107e272	POST	undefined	/employees
20220720	20:23:23	ce6c6302-1283-4fff-8ca4-aa1846820b1f	PUT	undefined	/employees
20220720	20:27:05	d904c3f7-13f9-4205-a414-3ee7ab894c5e	PUT	undefined	/employees
20220720	20:28:00	7cb205f2-cac1-4e29-9f94-3b4bfd522e1a	DELETE	undefined	/employees
20220720	20:28:16	52bf872c-a59e-440c-a308-2f040eaa280f	GET	undefined	/employees
20220721	18:49:48	0e360a7f-0463-4c83-9f4b-947688c1c04d	POST	undefined	/register
20220721	18:51:28	cd0250d6-d529-4208-bce7-44a2b377f7c8	POST	undefined	/register
20220721	18:53:16	5b7353f8-633a-466b-81ec-aa2395220ed9	POST	undefined	/register
20220721	19:18:59	cbfca7bb-0b8a-43f4-942e-aea62404ac59	POST	undefined	/auth
20220721	19:19:16	59f80a22-220c-4149-88ec-d8a391026bbb	POST	undefined	/auth
20220721	19:19:43	c3d0c40e-c78c-4bde-8d16-f7a461d26b7f	POST	undefined	/auth
20220722	08:50:59	5bb424b4-8d6a-4bd1-88d1-ed31eb885801	POST	undefined	/auth
20220722	08:51:10	51e4d3d3-47a7-4aed-9da4-0af284cf0962	POST	undefined	/auth
20220722	08:54:08	97487451-67ea-462e-b46a-0ab4894a2dba	POST	undefined	/auth
20220722	08:54:16	50761b6d-c310-45da-a51b-9761a9069fa2	POST	undefined	/employees
20220722	08:54:25	f09cef76-122c-4d58-881f-8994faf24a52	GET	undefined	/employees
20220722	08:55:36	4387b1df-3cc9-4b9e-850e-62cbda35ea26	POST	undefined	/auth
20220722	08:55:49	373cd73b-c1d7-4d55-b3e7-14caa7bcdd8e	GET	undefined	/employees
20220722	08:57:25	462dcabb-f890-4ed3-b6d4-eb527fd5dd3c	POST	undefined	/auth
20220722	08:57:35	b76c8e22-0f79-4e67-8a48-c9c7d2fc29dc	GET	undefined	/employees
20220722	09:05:13	0bdc4dfe-7740-4e9d-a740-5f8f4ebc5187	POST	undefined	/auth
20220722	09:05:25	6d11437f-ef4e-46fd-b8b3-045c5184b039	GET	undefined	/employees
20220722	09:07:53	14264bbd-1c4c-4ca3-8295-5c5991f0ba8b	POST	undefined	/employee
20220722	18:10:52	ef7a3142-4210-400a-a7a0-78bf9d77ee43	GET	undefined	/auth
20220722	18:12:03	6cb518eb-6749-4e94-9840-c2d5a11f9ea7	GET	undefined	/auth
20220722	18:13:09	8b30df48-8357-4dbd-bbb4-07c3efafe510	POST	undefined	/auth
